TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
3.532,0.005,3.419,3.624,8.491,0.035,8.198,8.72,0.053,0.0,0.025,0.102
2.792,0.008,2.447,2.934,6.782,0.294,5.449,7.565,0.096,0.002,0.031,0.22
2.555,0.011,2.402,2.764,5.674,0.174,4.972,6.434,0.18,0.004,0.031,0.324
2.365,0.015,2.195,2.627,5.193,0.126,4.602,5.826,0.229,0.002,0.107,0.322
2.201,0.017,1.908,2.495,5.516,0.637,4.265,8.336,0.191,0.005,0.057,0.341
2.094,0.022,1.908,2.731,7.067,11.085,4.197,21.937,0.149,0.006,0.025,0.336
4.193,3.497,2.225,7.759,6.707,4.423,4.513,12.294,0.141,0.009,0.0,0.32
2.679,0.273,2.053,3.923,5.554,0.328,4.564,7.708,0.161,0.005,0.038,0.341
2.36,0.078,1.907,2.783,6.374,1.842,4.683,10.587,0.131,0.003,0.038,0.248
2.2,0.055,1.818,2.539,10.233,34.244,5.072,29.971,0.093,0.002,0.038,0.229
2.138,0.129,1.712,4.029,15.624,113.785,4.937,59.335,0.075,0.002,0.033,0.294
2.824,1.163,1.962,6.756,8.273,15.281,4.478,24.823,0.111,0.006,0.0,0.308
2.293,0.08,1.841,2.992,12.505,44.472,5.437,27.813,0.082,0.002,0.017,0.173
2.12,0.048,1.737,2.584,17.973,102.979,6.615,46.164,0.068,0.001,0.031,0.148
2.011,0.038,1.654,2.372,20.744,96.166,8.983,48.199,0.064,0.0,0.031,0.113
1.916,0.034,1.567,2.281,21.787,68.963,8.559,52.677,0.06,0.0,0.023,0.106
2.252,0.426,1.512,5.148,16.386,73.302,7.442,46.724,0.067,0.001,0.013,0.18
1.998,0.062,1.434,2.505,18.916,63.084,8.009,43.422,0.068,0.001,0.019,0.172
1.891,0.047,1.385,2.293,19.559,61.772,7.826,47.897,0.065,0.001,0.019,0.139
1.793,0.04,1.317,2.115,20.644,62.072,9.874,43.414,0.067,0.001,0.025,0.148
1.726,0.038,1.256,2.058,22.533,99.542,9.482,52.234,0.069,0.001,0.013,0.14
2.05,0.25,1.451,3.739,17.47,70.291,6.455,41.755,0.071,0.001,0.037,0.131
1.829,0.053,1.369,2.414,18.304,54.712,7.337,43.411,0.071,0.001,0.019,0.148
1.746,0.044,1.321,2.248,20.827,88.76,6.599,54.957,0.073,0.001,0.013,0.16
1.669,0.039,1.25,2.133,21.421,81.807,7.031,55.442,0.07,0.001,0.025,0.122
1.615,0.038,1.197,2.006,21.017,73.535,8.065,39.63,0.072,0.001,0.013,0.152
1.893,0.215,1.229,3.524,18.594,74.556,6.082,45.056,0.073,0.001,0.025,0.164
1.72,0.067,1.184,2.47,20.317,89.06,6.567,51.292,0.073,0.001,0.013,0.152
1.619,0.054,1.134,2.264,21.07,91.414,7.575,53.259,0.075,0.001,0.013,0.161
1.549,0.044,1.104,2.101,23.424,101.66,7.835,60.008,0.073,0.001,0.013,0.17
1.482,0.037,1.061,1.983,24.65,122.344,9.609,65.181,0.071,0.001,0.013,0.191
1.76,0.208,1.028,3.208,21.485,159.408,6.671,74.431,0.073,0.001,0.013,0.189
1.606,0.083,0.979,2.43,21.844,172.534,7.958,82.557,0.074,0.001,0.019,0.172
1.52,0.066,0.943,2.232,23.992,181.527,7.121,77.778,0.067,0.0,0.025,0.107
