,TrainLoss_mean,TrainLoss_std,TrainLoss_min,TrainLoss_max,ValidationLoss_mean,ValidationLoss_std,ValidationLoss_min,ValidationLoss_max,ValidationAccuracy_mean,ValidationAccuracy_std,ValidationAccuracy_min,ValidationAccuracy_max
0,1.281,0.088,0.877,1.806,1.579,0.117,1.061,2.578,0.887,0.001,0.834,0.934
1,0.268,0.003,0.157,0.351,0.988,0.139,0.27,1.844,0.918,0.0,0.844,0.961
2,0.195,0.001,0.124,0.274,0.885,0.121,0.27,1.699,0.929,0.0,0.878,0.968
3,0.165,0.001,0.112,0.252,0.827,0.104,0.214,1.635,0.934,0.0,0.902,0.971
4,0.143,0.001,0.096,0.224,0.785,0.088,0.197,1.517,0.938,0.0,0.902,0.966
5,0.128,0.001,0.085,0.212,0.749,0.075,0.194,1.455,0.94,0.0,0.905,0.976
6,0.494,0.602,0.099,3.796,0.933,0.199,0.209,2.031,0.932,0.001,0.82,0.98
7,0.165,0.004,0.084,0.416,0.749,0.076,0.184,1.39,0.938,0.0,0.849,0.98
8,0.131,0.001,0.071,0.229,0.71,0.064,0.216,1.267,0.941,0.0,0.878,0.973
9,0.112,0.001,0.063,0.193,0.682,0.063,0.18,1.391,0.945,0.0,0.907,0.976
10,0.228,0.461,0.052,4.541,0.698,0.09,0.211,1.976,0.944,0.0,0.864,0.973
11,0.496,0.911,0.063,4.541,0.822,0.2,0.206,1.998,0.94,0.001,0.864,0.971
12,0.14,0.006,0.053,0.396,0.659,0.056,0.174,1.305,0.946,0.0,0.859,0.971
13,0.104,0.001,0.044,0.223,0.62,0.044,0.222,1.126,0.949,0.0,0.888,0.974
14,0.089,0.001,0.037,0.19,0.606,0.044,0.191,1.101,0.951,0.0,0.902,0.98
15,0.077,0.001,0.029,0.168,0.596,0.041,0.195,1.049,0.952,0.0,0.907,0.98
16,0.351,0.54,0.039,3.486,0.698,0.151,0.173,2.064,0.948,0.001,0.844,0.98
17,0.115,0.005,0.03,0.363,0.582,0.044,0.196,1.125,0.951,0.0,0.863,0.978
18,0.087,0.002,0.026,0.206,0.566,0.039,0.191,1.079,0.954,0.0,0.888,0.978
19,0.072,0.001,0.019,0.183,0.556,0.038,0.203,0.98,0.954,0.0,0.907,0.978
20,0.064,0.001,0.017,0.162,0.548,0.037,0.193,1.008,0.956,0.0,0.907,0.984
21,0.41,0.669,0.027,3.366,0.668,0.142,0.177,1.894,0.952,0.001,0.844,0.981
22,0.095,0.004,0.02,0.3,0.54,0.041,0.195,1.103,0.956,0.0,0.888,0.984
23,0.076,0.002,0.016,0.199,0.532,0.036,0.189,0.977,0.957,0.0,0.888,0.987
24,0.064,0.001,0.012,0.187,0.527,0.036,0.185,0.974,0.957,0.0,0.907,0.98
25,0.105,0.11,0.01,2.394,0.519,0.034,0.201,0.958,0.96,0.0,0.912,0.986
26,0.333,0.471,0.018,3.058,0.588,0.096,0.174,1.493,0.956,0.0,0.849,0.985
27,0.087,0.004,0.011,0.28,0.518,0.039,0.178,1.016,0.957,0.0,0.859,0.98
28,0.065,0.002,0.009,0.167,0.504,0.036,0.181,0.973,0.958,0.0,0.907,0.985
29,0.056,0.001,0.006,0.167,0.5,0.036,0.184,0.976,0.959,0.0,0.913,0.987
30,0.049,0.001,0.006,0.149,0.499,0.038,0.18,0.998,0.96,0.0,0.927,0.987
31,0.253,0.284,0.012,2.492,0.55,0.085,0.174,1.543,0.958,0.0,0.868,0.987
32,0.076,0.003,0.007,0.225,0.492,0.039,0.17,0.96,0.96,0.0,0.878,0.985
33,0.06,0.002,0.006,0.186,0.48,0.035,0.16,0.979,0.961,0.0,0.898,0.991
34,0.049,0.001,0.004,0.165,0.479,0.034,0.166,0.873,0.961,0.0,0.902,0.987
35,0.044,0.001,0.004,0.146,0.487,0.037,0.151,1.061,0.961,0.0,0.922,0.991
36,0.223,0.16,0.01,1.89,0.521,0.066,0.154,1.303,0.959,0.0,0.883,0.989
37,0.067,0.003,0.005,0.222,0.481,0.04,0.165,0.977,0.96,0.0,0.888,0.991
38,0.054,0.002,0.004,0.173,0.469,0.035,0.165,0.959,0.962,0.0,0.898,0.991
39,0.047,0.001,0.004,0.152,0.472,0.036,0.157,0.92,0.962,0.0,0.922,0.986
40,0.077,0.064,0.003,1.821,0.471,0.037,0.143,1.017,0.963,0.0,0.913,0.991
41,0.2,0.13,0.007,1.821,0.5,0.066,0.143,1.231,0.962,0.0,0.883,0.991
42,0.062,0.002,0.004,0.211,0.467,0.038,0.149,0.925,0.961,0.0,0.888,0.989
43,0.05,0.001,0.004,0.169,0.465,0.036,0.144,0.947,0.962,0.0,0.912,0.985
44,0.042,0.001,0.003,0.149,0.461,0.035,0.147,0.877,0.964,0.0,0.922,0.987
45,0.037,0.001,0.002,0.135,0.471,0.039,0.124,1.056,0.963,0.0,0.927,0.991
46,0.146,0.06,0.006,1.19,0.481,0.058,0.131,1.178,0.963,0.0,0.888,0.989
47,0.058,0.002,0.004,0.207,0.454,0.038,0.142,0.919,0.964,0.0,0.907,0.987
48,0.047,0.001,0.003,0.175,0.459,0.038,0.139,0.964,0.964,0.0,0.922,0.989
49,0.038,0.001,0.003,0.15,0.455,0.042,0.142,1.151,0.964,0.0,0.917,0.985
50,0.035,0.001,0.002,0.133,0.465,0.039,0.133,0.985,0.963,0.0,0.922,0.984
51,0.179,0.103,0.005,1.574,0.479,0.062,0.107,1.131,0.963,0.0,0.883,0.993
52,0.055,0.002,0.004,0.207,0.454,0.04,0.138,0.938,0.964,0.0,0.917,0.991
53,0.044,0.001,0.002,0.171,0.453,0.044,0.12,1.041,0.965,0.0,0.907,0.989
54,0.038,0.001,0.003,0.148,0.453,0.037,0.136,1.005,0.965,0.0,0.922,0.986
55,0.072,0.048,0.002,1.503,0.464,0.04,0.126,0.903,0.964,0.0,0.917,0.991
56,0.161,0.086,0.004,1.503,0.472,0.054,0.115,1.086,0.964,0.0,0.888,0.991
57,0.053,0.002,0.003,0.211,0.444,0.04,0.104,0.918,0.965,0.0,0.907,0.993
58,0.041,0.001,0.002,0.165,0.446,0.037,0.11,0.916,0.964,0.0,0.907,0.991
59,0.035,0.001,0.002,0.149,0.447,0.036,0.113,0.893,0.966,0.0,0.927,0.993
60,0.03,0.001,0.002,0.129,0.458,0.044,0.122,0.95,0.965,0.0,0.917,0.991
61,0.132,0.051,0.003,0.944,0.462,0.056,0.094,1.066,0.965,0.0,0.888,0.993
62,0.049,0.002,0.002,0.205,0.433,0.039,0.109,0.871,0.966,0.0,0.902,0.993
63,0.04,0.001,0.002,0.173,0.438,0.038,0.106,0.896,0.966,0.0,0.907,0.993
64,0.033,0.001,0.002,0.148,0.457,0.04,0.131,0.925,0.965,0.0,0.927,0.991
65,0.03,0.001,0.002,0.131,0.447,0.04,0.114,0.95,0.965,0.0,0.922,0.993
66,0.146,0.074,0.003,1.467,0.453,0.054,0.095,1.053,0.966,0.0,0.888,0.993
67,0.046,0.002,0.002,0.206,0.43,0.038,0.105,0.876,0.965,0.0,0.907,0.993
68,0.038,0.001,0.002,0.162,0.439,0.036,0.125,0.909,0.965,0.0,0.907,0.989
69,0.032,0.001,0.001,0.142,0.436,0.037,0.116,0.88,0.967,0.0,0.913,0.991
70,0.055,0.037,0.001,1.379,0.452,0.045,0.123,1.101,0.967,0.0,0.922,0.989
71,0.135,0.063,0.003,1.379,0.449,0.054,0.1,1.039,0.965,0.0,0.893,0.993
72,0.046,0.002,0.002,0.204,0.436,0.041,0.098,0.881,0.966,0.0,0.922,0.993
73,0.036,0.001,0.002,0.146,0.438,0.04,0.099,0.885,0.966,0.0,0.912,0.993
74,0.031,0.001,0.002,0.146,0.438,0.042,0.11,0.955,0.967,0.0,0.927,0.991
75,0.026,0.001,0.001,0.134,0.443,0.041,0.101,0.94,0.967,0.0,0.922,0.996
76,0.106,0.029,0.003,0.766,0.443,0.054,0.102,0.998,0.966,0.0,0.888,0.991
77,0.044,0.002,0.001,0.199,0.431,0.043,0.092,0.943,0.967,0.0,0.922,0.993
78,0.035,0.001,0.001,0.158,0.433,0.041,0.098,0.899,0.967,0.0,0.917,0.993
79,0.029,0.001,0.001,0.138,0.433,0.038,0.111,0.883,0.968,0.0,0.927,0.991
